airport,flight_date,scheduled_time,actual_time,terminal,gate,airlines,flight_numbers,destination,snapshots_seen,review,review_reason
DME,2026-06-01,21:40,,,C8,S7 Airlines,S7 2593,Абакан,7,0,
DME,2026-06-01,21:30,,,E8,Ethiopian Airlines,ET 761,Аддис-Абеба,7,0,
DME,2026-06-01,07:20,,,,Уральские авиалинии,U6 3559,Анталья,23,1,гейт отсутствует в источнике (наблюдений много)
DME,2026-06-01,08:45,,,E18,S7 Airlines,S7 3745,Анталья,23,0,
DME,2026-06-01,03:20,,,E6,Уральские авиалинии,U6 3557,Анталья,23,0,
DME,2026-06-01,10:35,,,E20,S7 Airlines,S7 3235,Ашхабад,23,0,
DME,2026-06-01,00:40,,,E6,Азербайджан Хава Йоллары,J2 186,Баку,23,0,
DME,2026-06-01,12:45,,,E6,Азербайджан Хава Йоллары,J2 182,Баку,23,0,
DME,2026-06-01,10:40,,,,TEZ Jet,K9 702,Бишкек,23,1,неизвестный финальный статус: unknown; гейт отсутствует в источнике (наблюдений много)
DME,2026-06-01,08:15,,,E10,Уральские авиалинии,U6 2803,Бишкек,23,0,
DME,2026-06-01,10:30,,,E3,Avia Traffic Company,YK 884,Бишкек,23,0,
DME,2026-06-01,17:45,,,D14,Уральские авиалинии,U6 299,Благовещенск,21,0,
DME,2026-06-01,21:05,,,D14,Уральские авиалинии,U6 349,Благовещенск,7,0,
DME,2026-06-01,11:35,,,C13,S7 Airlines,S7 2153,Владикавказ,23,0,
DME,2026-06-01,12:00,,,D3,Нордстар,Y7 1051,Владикавказ,35,0,
DME,2026-06-01,10:15,,,D6,Уральские авиалинии,U6 1387,Владикавказ,23,0,
DME,2026-06-01,11:15,,,C5,S7 Airlines,S7 2145,Волгоград,23,0,
DME,2026-06-01,12:45,,,C7,S7 Airlines,S7 2147,Волгоград,23,0,
DME,2026-06-01,09:40,,,D13,Уральские авиалинии,U6 115,Геленджик,23,0,
DME,2026-06-01,15:25,,,D13,Уральские авиалинии,U6 427,Грозный,23,0,
DME,2026-06-01,16:35,,,,Jazeera Airways,J9 5109,Джидда,10,1,неизвестный финальный статус: unknown; гейт отсутствует в источнике (наблюдений много)
DME,2026-06-01,16:50,,,E14,Emirates;S7 Airlines,EK 134;S7 4163,Дубай,21,0,
DME,2026-06-01,00:35,,,E10,Уральские авиалинии,U6 8253,Душанбе,23,0,
DME,2026-06-01,00:30,,,E3,Сомон Эйр,SZ 202,Душанбе,23,0,
DME,2026-06-01,08:25,,,D11,Уральские авиалинии,U6 273,Екатеринбург,23,0,
DME,2026-06-01,13:35,,,D14,Уральские авиалинии,U6 269,Екатеринбург,23,0,
DME,2026-06-01,10:00,,,D4,Уральские авиалинии,U6 261,Екатеринбург,35,0,
DME,2026-06-01,20:35,,,D4,Уральские авиалинии,U6 263,Екатеринбург,7,0,
DME,2026-06-01,22:00,,,D6,Уральские авиалинии,U6 265,Екатеринбург,7,0,
DME,2026-06-01,22:00,,,,Уральские авиалинии,U6 2633,Ереван,7,1,гейт не зафиксирован (мало наблюдений — возможен пропуск опроса или поздний вылет)
DME,2026-06-01,10:00,,,E4,FLYONE Armenia,3F 312,Ереван,35,0,
DME,2026-06-01,10:30,,,E4,FLYONE Armenia,3F 1316,Ереван,23,0,
DME,2026-06-01,20:10,,,E6,FLYONE Armenia,3F 316,Ереван,7,0,
DME,2026-06-01,01:50,,,E8,FLYONE Armenia,3F 314,Ереван,23,0,
DME,2026-06-01,08:40,,,C4,Ижавиа,I8 302,Ижевск,23,0,
DME,2026-06-01,19:40,,,C4,Ижавиа,I8 308,Ижевск,14,0,
DME,2026-06-01,12:45,,,C12,S7 Airlines,S7 3021,Иркутск,23,0,
DME,2026-06-01,21:30,,,C14,S7 Airlines,S7 3017,Иркутск,7,0,
DME,2026-06-01,19:30,,,D8,Уральские авиалинии,U6 105,Иркутск,15,0,
DME,2026-06-01,18:25,,,C13,S7 Airlines,S7 1055,Казань,21,0,
DME,2026-06-01,16:55,,,E6,Egypt Air,MS 730,Каир,21,0,
DME,2026-06-01,14:20,,,C7,S7 Airlines,S7 1213,Калининград,23,0,
DME,2026-06-01,16:40,,,D11,Уральские авиалинии,U6 167,Калининград,21,0,
DME,2026-06-01,11:30,,,D13,Уральские авиалинии,U6 627,Калининград,23,0,
DME,2026-06-01,09:00,,,D9,Уральские авиалинии,U6 371,Калининград,23,0,
DME,2026-06-01,11:00,,,D9,Уральские авиалинии,U6 109,Краснодар,23,0,
DME,2026-06-01,06:25,,,,Уральские авиалинии,U6 2769,Куляб,12,1,неизвестный финальный статус: unknown; гейт отсутствует в источнике (наблюдений много)
DME,2026-06-01,01:00,,,D3,Нордстар,Y7 9991;Y7 1091,Курган,46,1,неизвестный финальный статус: unknown
DME,2026-06-01,10:05,,,,S7 Airlines,S7 2159,Махачкала,23,1,гейт отсутствует в источнике (наблюдений много)
DME,2026-06-01,13:05,,,C15,S7 Airlines,S7 2157,Махачкала,23,0,
DME,2026-06-01,11:30,,,D11,Уральские авиалинии,U6 1343,Махачкала,23,0,
DME,2026-06-01,12:10,,,D5,Нордстар,Y7 410,Махачкала,23,0,
DME,2026-06-01,13:45,,,C3,S7 Airlines;Азимут,S7 2169;A4 1169,Минеральные Воды,23,0,
DME,2026-06-01,10:40,,,D14,Уральские авиалинии,U6 153,Минеральные Воды,23,0,
DME,2026-06-01,12:15,,,E3,Белавиа,B2 958,Минск,23,0,
DME,2026-06-01,19:55,,,E3,Белавиа,B2 956,Минск,12,1,"задержан в пределах суток, итогового статуса не видели"
DME,2026-06-01,03:35,,,C14,Ямал,YC 173,Надым,23,0,
DME,2026-06-01,08:20,,,E19,Уральские авиалинии,U6 2611,Наманган,23,0,
DME,2026-06-01,21:35,,,C7,S7 Airlines,S7 3059,Нерюнгри,7,0,
DME,2026-06-01,07:30,,,C12,S7 Airlines,S7 2519,Новосибирск,23,0,
DME,2026-06-01,16:35,,,C12,S7 Airlines,S7 2509,Новосибирск,21,0,
DME,2026-06-01,13:40,,,C13,S7 Airlines,S7 2507,Новосибирск,23,0,
DME,2026-06-01,19:45,,,C13,S7 Airlines,S7 2511,Новосибирск,13,0,
DME,2026-06-01,11:45,,,C15,S7 Airlines,S7 2505,Новосибирск,23,0,
DME,2026-06-01,01:45,,,C15,S7 Airlines,S7 2571,Новый Уренгой,23,0,
DME,2026-06-01,01:30,,,C18,ЮТэйр;Ямал,UT 4090;YC 90,Новый Уренгой,46,0,
DME,2026-06-01,10:10,,,D8,Нордстар,Y7 109,Норильск,23,0,
DME,2026-06-01,19:20,,,E10,Уральские авиалинии,U6 2909,Ош,16,0,
DME,2026-06-01,10:40,,,E2,Avia Traffic Company,YK 966,Ош,23,0,
DME,2026-06-01,19:45,,,C19,S7 Airlines,S7 1195,Пенза,13,0,
DME,2026-06-01,12:45,,,C17,Северсталь,D2 253,Петрозаводск,23,0,
DME,2026-06-01,03:05,,,D9,Ямал,YC 32,Салехард,23,0,
DME,2026-06-01,14:30,,,C12,S7 Airlines,S7 1073,Самара,23,0,
DME,2026-06-01,21:15,,,D5,Нордстар,Y7 4211,Самара,7,0,
DME,2026-06-01,19:45,,,,Уральские авиалинии,U6 2771,Самарканд,13,1,гейт отсутствует в источнике (наблюдений много)
DME,2026-06-01,18:00,,,,Ямал,YC 9716,Санкт-Петербург,33,1,неизвестный финальный статус: unknown; гейт отсутствует в источнике (наблюдений много)
DME,2026-06-01,09:30,,,C12,S7 Airlines,S7 1003,Санкт-Петербург,23,0,
DME,2026-06-01,12:10,,,C3,S7 Airlines,S7 1005,Санкт-Петербург,23,0,
DME,2026-06-01,17:25,,,,Уральские авиалинии,U6 241,Сочи,11,1,гейт отсутствует в источнике (наблюдений много)
DME,2026-06-01,08:55,,,C13,S7 Airlines;Азимут,S7 2049;A4 1049,Сочи,23,0,
DME,2026-06-01,12:35,,,D6,Уральские авиалинии,U6 279,Сочи,23,0,
DME,2026-06-01,19:00,,,D6,Уральские авиалинии,U6 241,Сочи,12,0,
DME,2026-06-01,10:05,,,E10,Уральские авиалинии,U6 783,Стамбул,23,0,
DME,2026-06-01,09:55,,,E19,S7 Airlines,S7 3749,Стамбул,23,0,
DME,2026-06-01,11:45,,,E13,S7 Airlines;Uzbekistan Airways,S7 4263;HY 604,Ташкент,46,0,
DME,2026-06-01,18:30,,,E4,Qanot Sharq,HH 702,Ташкент,21,0,
DME,2026-06-01,17:50,,,E15,El Al;S7 Airlines,LY 612;S7 4483,Тель-Авив,21,0,
DME,2026-06-01,20:45,,,C12,S7 Airlines,S7 3031,Улан-Удэ,7,0,
DME,2026-06-01,10:35,,,C12,S7 Airlines,S7 1135,Уфа,23,0,
DME,2026-06-01,16:30,,,C13,S7 Airlines,S7 1137,Уфа,21,0,
DME,2026-06-01,06:50,,,E4,Qanot Sharq,HH 704,Фергана,23,0,
DME,2026-06-01,19:40,,,,Уральские авиалинии,U6 2555,Худжанд,2,1,неизвестный финальный статус: unknown; гейт не зафиксирован (мало наблюдений — возможен пропуск опроса или поздний вылет)
DME,2026-06-01,17:15,,,C14,Северсталь,D2 258,Череповец,21,0,
DME,2026-06-01,16:55,,,C16,S7 Airlines,S7 3045,Чита,21,0,
DME,2026-06-01,19:25,,,C16,S7 Airlines,S7 3047,Чита,15,0,
DME,2026-06-01,19:45,,,D13,Уральские авиалинии,U6 93,Чита,13,0,
DME,2026-06-01,01:10,,,E4,Egypt Air,MS 728,Шарм-эль-Шейх,23,0,
DME,2026-06-01,21:00,,,C15,S7 Airlines,S7 3005,Якутск,7,0,
SVO,2026-06-01,00:15,,B,115,Аэрофлот,SU 1478,Абакан,11,0,
SVO,2026-06-01,10:55,,C,125,Etihad Airways;Garuda Indonesia,EY 842;GA 9131,Абу-Даби,12,0,
SVO,2026-06-01,04:10,,C,,Air Algerie,AH 3001,Алжир,11,1,неизвестный финальный статус: unknown; гейт отсутствует в источнике (наблюдений много)
SVO,2026-06-01,00:05,,C,130,Аэрофлот,SU 1942,Алматы,11,0,
SVO,2026-06-01,09:40,,C,142,Аэрофлот,SU 1946,Алматы,12,0,
SVO,2026-06-01,13:15,,C,125,Southwind Airlines,2S 2,Анталья,12,0,
SVO,2026-06-01,02:45,,C,127,Corendon Airlines,XC 9117,Анталья,10,0,
SVO,2026-06-01,07:35,,C,128,Аэрофлот,SU 2142,Анталья,9,0,
SVO,2026-06-01,12:20,,C,128,Аэрофлот,SU 2160,Анталья,12,0,
SVO,2026-06-01,11:25,,C,131,Аэрофлот,SU 2158,Анталья,12,1,неизвестный финальный статус: unknown
SVO,2026-06-01,02:15,,C,135,Аэрофлот,SU 2148,Анталья,10,0,
SVO,2026-06-01,09:15,,C,136,Аэрофлот,SU 2124,Анталья,12,0,
SVO,2026-06-01,00:45,,C,138,Southwind Airlines,2S 174,Анталья,11,0,
SVO,2026-06-01,10:30,,C,140,Аэрофлот,SU 2126,Анталья,12,0,
SVO,2026-06-01,13:40,,C,140,Аэрофлот,SU 2144,Анталья,12,0,
SVO,2026-06-01,11:35,,C,142,Аэрофлот,SU 2146,Анталья,12,0,
SVO,2026-06-01,12:45,,C,144,Аэрофлот,SU 2156,Анталья,12,0,
SVO,2026-06-01,12:30,,C,145,Southwind Airlines,2S 136,Анталья,12,0,
SVO,2026-06-01,13:10,,B,122,Аэрофлот,SU 1346,Апатиты,12,0,
SVO,2026-06-01,08:10,,B,106,Россия;Аэрофлот,FV 6503;SU 6503,Архангельск,12,0,
SVO,2026-06-01,18:35,,B,112,Россия;Аэрофлот,FV 6993;SU 6993,Архангельск,12,0,
SVO,2026-06-01,14:45,,B,113,Россия;Аэрофлот,FV 6337;SU 6337,Архангельск,12,0,
SVO,2026-06-01,21:00,,B,114,Аэрофлот,SU 1334,Архангельск,7,0,
SVO,2026-06-01,12:05,,D,16,Smartavia,5N 217,Архангельск,12,0,
SVO,2026-06-01,15:20,,C,130,Аэрофлот,SU 1914,Астана,12,0,
SVO,2026-06-01,11:55,,C,136,Аэрофлот,SU 1962,Астана,12,0,
SVO,2026-06-01,02:20,,B,101,Аэрофлот,SU 1172,Астрахань,10,0,
SVO,2026-06-01,16:20,,B,104,Аэрофлот,SU 1174,Астрахань,11,0,
SVO,2026-06-01,07:50,,B,109,Аэрофлот,SU 1678,Астрахань,9,0,
SVO,2026-06-01,07:00,,D,3,Победа,DP 6961,Астрахань,9,0,
SVO,2026-06-01,10:35,,C,129,Аэрофлот,SU 1854,Баку,12,0,
SVO,2026-06-01,21:30,,C,130,Аэрофлот,SU 1850,Баку,7,0,
SVO,2026-06-01,14:35,,C,136,Аэрофлот,SU 1856,Баку,12,0,
SVO,2026-06-01,20:55,,D,1,Победа,DP 6531,Барнаул,7,0,
SVO,2026-06-01,00:40,,B,116,Аэрофлот,SU 1430,Барнаул,11,0,
SVO,2026-06-01,02:55,,C,145,Air Serbia,JU 137,Белград,10,0,
SVO,2026-06-01,09:20,,C,130,Аэрофлот,SU 1886,Бишкек,12,0,
SVO,2026-06-01,21:35,,C,140,Аэрофлот,SU 1882,Бишкек,7,0,
SVO,2026-06-01,07:45,,C,141,Аэрофлот,SU 2120,Бодрум,9,0,
SVO,2026-06-01,00:20,,C,132,Nordwind,N4 1401,Бохтар,11,0,
SVO,2026-06-01,13:45,,C,143,Белавиа,B2 912,Брест,12,0,
SVO,2026-06-01,01:20,,B,102,Аэрофлот,SU 1708,Владивосток,11,0,
SVO,2026-06-01,19:40,,B,102,Аэрофлот,SU 1702,Владивосток,12,0,
SVO,2026-06-01,16:45,,B,103,Аэрофлот,SU 1756,Владивосток,11,0,
SVO,2026-06-01,18:25,,B,103,Аэрофлот,SU 5804,Владивосток,12,0,
SVO,2026-06-01,15:40,,B,104,Аэрофлот,SU 1700,Владивосток,12,0,
SVO,2026-06-01,07:55,,D,1,Победа,DP 6905,Владикавказ,9,0,
SVO,2026-06-01,07:25,,B,102,Аэрофлот,SU 1180,Волгоград,9,0,
SVO,2026-06-01,08:50,,B,104,Россия;Аэрофлот,FV 6415;SU 6415,Волгоград,12,0,
SVO,2026-06-01,10:05,,B,108,Аэрофлот,SU 1188,Волгоград,12,0,
SVO,2026-06-01,17:25,,B,116,Аэрофлот,SU 1186,Волгоград,11,0,
SVO,2026-06-01,14:55,,B,117,Аэрофлот,SU 1182,Волгоград,12,0,
SVO,2026-06-01,18:45,,B,119,Аэрофлот,SU 1286,Волгоград,12,0,
SVO,2026-06-01,07:05,,D,13,Победа,DP 6965,Волгоград,9,0,
SVO,2026-06-01,15:05,,D,13,Победа,DP 6969,Волгоград,12,0,
SVO,2026-06-01,19:20,,D,3,Победа,DP 6967,Волгоград,12,0,
SVO,2026-06-01,08:20,,B,104,Аэрофлот,SU 1148,Геленджик,12,0,
SVO,2026-06-01,13:30,,B,116,Аэрофлот,SU 1082,Геленджик,12,0,
SVO,2026-06-01,06:45,,B,119,Аэрофлот,SU 1154,Геленджик,9,0,
SVO,2026-06-01,09:35,,B,101,Аэрофлот,SU 1518,Горно-Алтайск,12,0,
SVO,2026-06-01,00:10,,B,106,Аэрофлот,SU 1524,Горно-Алтайск,11,0,
SVO,2026-06-01,15:50,,B,103,Аэрофлот,SU 1496,Грозный,12,0,
SVO,2026-06-01,17:05,,B,107,Аэрофлот,SU 1590,Грозный,11,0,
SVO,2026-06-01,08:45,,B,118,Аэрофлот,SU 1498,Грозный,12,0,
SVO,2026-06-01,19:15,,C,133,Аэрофлот,SU 220,Гуанчжоу,12,0,
SVO,2026-06-01,21:15,,C,134,China Southern Airlines,CZ 656,Гуанчжоу,7,0,
SVO,2026-06-01,16:05,,C,138,China Southern Airlines,CZ 8028,Гуанчжоу,11,0,
SVO,2026-06-01,11:00,,C,130,Аэрофлот,SU 2122,Даламан,12,0,
SVO,2026-06-01,21:25,,C,133,Аэрофлот,SU 232,Дели,7,0,
SVO,2026-06-01,10:40,,C,126,Qatar Airways;MAS;Srilankan Airlines,QR 338;MH 9290;UL 3032,Доха,12,0,
SVO,2026-06-01,17:10,,C,134,Qatar Airways;Srilankan Airlines,QR 340;UL 3034,Доха,11,0,
SVO,2026-06-01,07:05,,C,144,Аэрофлот,SU 520,Дубай,9,0,
SVO,2026-06-01,02:20,,B,102,Аэрофлот,SU 1466,Екатеринбург,10,0,
SVO,2026-06-01,07:35,,B,104,Аэрофлот,SU 1400,Екатеринбург,9,0,
SVO,2026-06-01,15:25,,B,107,Аэрофлот,SU 1404,Екатеринбург,12,0,
SVO,2026-06-01,09:30,,B,109,Аэрофлот,SU 1416,Екатеринбург,12,0,
SVO,2026-06-01,11:05,,B,109,Аэрофлот,SU 1402,Екатеринбург,12,0,
SVO,2026-06-01,14:40,,B,110,Аэрофлот,SU 1470,Екатеринбург,12,0,
SVO,2026-06-01,17:40,,B,120,Аэрофлот,SU 1414,Екатеринбург,11,0,
SVO,2026-06-01,19:10,,B,121,Аэрофлот,SU 1418,Екатеринбург,12,0,
SVO,2026-06-01,08:05,,C,125,Аэрофлот,SU 1860,Ереван,12,0,
SVO,2026-06-01,01:15,,C,127,Аэрофлот,SU 1966,Ереван,11,0,
SVO,2026-06-01,15:10,,C,127,Аэрофлот,SU 1862,Ереван,12,0,
SVO,2026-06-01,18:55,,C,140,Аэрофлот,SU 1868,Ереван,12,0,
SVO,2026-06-01,16:50,,C,144,Аэрофлот,SU 1864,Ереван,11,0,
SVO,2026-06-01,03:10,,C,145,Ширак Авиа,5G 710,Ереван,10,0,
SVO,2026-06-01,09:35,,C,146,Аэрофлот,SU 1866,Ереван,12,0,
SVO,2026-06-01,12:55,,B,104,Россия;Аэрофлот,FV 6375;SU 6375,Ижевск,12,0,
SVO,2026-06-01,07:05,,B,117,Россия;Аэрофлот,FV 6381;SU 6381,Ижевск,9,0,
SVO,2026-06-01,19:05,,B,117,Россия;Аэрофлот,FV 6885;SU 6885,Ижевск,12,0,
SVO,2026-06-01,21:20,,B,102,Аэрофлот,SU 1442,Иркутск,7,0,
SVO,2026-06-01,01:30,,B,103,Аэрофлот,SU 1562,Иркутск,11,0,
SVO,2026-06-01,11:40,,B,103,Аэрофлот,SU 1444,Иркутск,12,0,
SVO,2026-06-01,15:20,,B,101,Россия;Аэрофлот,FV 6361;SU 6361,Казань,12,0,
SVO,2026-06-01,11:20,,B,102,Россия;Аэрофлот,FV 6197;SU 6197,Казань,12,0,
SVO,2026-06-01,17:35,,B,103,Аэрофлот,SU 1192,Казань,11,0,
SVO,2026-06-01,18:20,,B,104,Аэрофлот,SU 1794,Казань,12,0,
SVO,2026-06-01,19:20,,B,104,Аэрофлот,SU 1194,Казань,12,0,
SVO,2026-06-01,20:15,,B,108,Россия;Аэрофлот,FV 6241;SU 6241,Казань,7,0,
SVO,2026-06-01,05:55,,B,112,Аэрофлот,SU 1270,Казань,11,0,
SVO,2026-06-01,08:05,,B,112,Аэрофлот,SU 1268,Казань,12,0,
SVO,2026-06-01,09:40,,B,114,Россия;Аэрофлот,FV 6385;SU 6385,Казань,12,0,
SVO,2026-06-01,20:40,,B,117,Победа;Nordwind,DP 6859;N4 59,Казань,14,0,
SVO,2026-06-01,21:20,,B,121,Аэрофлот,SU 1280,Казань,7,0,
SVO,2026-06-01,08:00,,D,3,Победа,DP 6841,Казань,21,0,
SVO,2026-06-01,10:25,,D,3,Победа,DP 6843,Казань,12,0,
SVO,2026-06-01,09:45,,C,137,Аэрофлот,SU 400,Каир,12,0,
SVO,2026-06-01,07:15,,D,1,Победа,DP 6837,Калининград,9,0,
SVO,2026-06-01,15:20,,D,1,Победа,DP 6831,Калининград,12,0,
SVO,2026-06-01,02:40,,B,102,Ikar,EO 103,Калининград,10,0,
SVO,2026-06-01,09:00,,B,102,Аэрофлот,SU 1016,Калининград,12,0,
SVO,2026-06-01,11:50,,B,105,Аэрофлот,SU 1018,Калининград,12,0,
SVO,2026-06-01,13:30,,B,106,Nordwind,N4 105,Калининград,12,0,
SVO,2026-06-01,20:25,,B,107,Аэрофлот,SU 1008,Калининград,7,0,
SVO,2026-06-01,07:30,,B,108,Аэрофлот,SU 1032,Калининград,1,0,
SVO,2026-06-01,08:00,,B,108,Аэрофлот,SU 1014;SU 1032,Калининград,21,0,
SVO,2026-06-01,14:15,,B,108,Аэрофлот,SU 1024,Калининград,12,0,
SVO,2026-06-01,18:35,,B,108,Аэрофлот,SU 1006,Калининград,12,0,
SVO,2026-06-01,08:15,,B,115,Россия;Аэрофлот,FV 6309;SU 6309,Калининград,12,0,
SVO,2026-06-01,10:00,,B,115,Аэрофлот,SU 1002,Калининград,24,0,
SVO,2026-06-01,16:15,,B,115,Россия;Аэрофлот,FV 6661;SU 6661,Калининград,11,0,
SVO,2026-06-01,10:30,,B,116,Россия;Аэрофлот,FV 6313;SU 6313,Калининград,12,0,
SVO,2026-06-01,18:00,,B,121,Россия;Аэрофлот,FV 6311;SU 6311,Калининград,23,0,
SVO,2026-06-01,06:35,,B,122,Аэрофлот,SU 1000,Калининград,9,0,
SVO,2026-06-01,17:20,,D,14,Аэрофлот;Smartavia,SU 1010;5N 251,Калининград,22,0,
SVO,2026-06-01,13:35,,B,3,Победа;Аэрофлот,DP 6835;SU 1004,Калининград,24,0,
SVO,2026-06-01,16:25,,D,3,Победа,DP 6833,Калининград,11,0,
SVO,2026-06-01,21:30,,D,3,Победа,DP 6839,Калининград,7,0,
SVO,2026-06-01,16:15,,D,,Аэрофлот,SU 2997,Картаго,11,1,неизвестный финальный статус: unknown; гейт отсутствует в источнике (наблюдений много)
SVO,2026-06-01,07:45,,C,126,Royal Air Maroc,AT 221,Касабланка,9,0,
SVO,2026-06-01,00:40,,B,103,Аэрофлот,SU 1456,Кемерово,11,0,
SVO,2026-06-01,11:40,,B,,Аэрофлот,SU 8103,Краснодар,12,1,неизвестный финальный статус: unknown; гейт отсутствует в источнике (наблюдений много)
