airport,flight_date,scheduled_time,actual_time,terminal,gate,airlines,flight_numbers,destination,destination_iata
SVO,2026-08-27,00:05,00:12,B,102,Аэрофлот,SU 1424,Уфа,UFA
SVO,2026-08-27,00:05,00:22,B,110,Аэрофлот,SU 1484,Красноярск,KJA
SVO,2026-08-27,00:05,00:18,C,142,Аэрофлот,SU 1942,Алматы,ALA
SVO,2026-08-27,00:10,00:24,B,114,Аэрофлот,SU 1524,Горно-Алтайск,RGK
SVO,2026-08-27,00:10,00:37,C,133,Аэрофлот,SU 2162,Анталья,AYT
SVO,2026-08-27,00:10,02:00,C,143,Аэрофлот,SU 428,Шарм-эль-Шейх,SSH
SVO,2026-08-27,00:15,00:27,B,112,Аэрофлот,SU 1478,Абакан,ABA
SVO,2026-08-27,00:15,00:29,C,139,Almasria universal airlines,UJ 620,Шарм-эль-Шейх,SSH
SVO,2026-08-27,00:15,00:42,D,3,Победа,DP 6569,Челябинск,CEK
SVO,2026-08-27,00:20,00:52,C,125,Southwind Airlines,2S 136,Анталья,AYT
SVO,2026-08-27,00:20,00:32,C,132,Аэрофлот,SU 1834,Минск,MSQ
SVO,2026-08-27,00:20,01:13,D,3,Победа,DP 5501,Уфа,UFA
SVO,2026-08-27,00:25,01:08,C,127,Almasria universal airlines,UJ 708,Хургада,HRG
SVO,2026-08-27,00:25,00:44,C,131,Аэрофлот,SU 2128,Анталья,AYT
SVO,2026-08-27,00:30,00:49,B,104,Аэрофлот,SU 1736,Петропавловск-Камчатский,PKC
SVO,2026-08-27,00:30,00:41,B,113,Аэрофлот,SU 1092,Челябинск,CEK
SVO,2026-08-27,00:35,00:45,B,116,Аэрофлот,SU 1568,Тюмень,TJM
SVO,2026-08-27,00:35,00:59,B,117,Аэрофлот,SU 1244,Оренбург,REN
SVO,2026-08-27,00:40,00:57,B,102,Аэрофлот,SU 1638,Омск,OMS
SVO,2026-08-27,00:40,01:05,B,103,Аэрофлот,SU 1430,Барнаул,BAX
SVO,2026-08-27,00:40,02:50,D,1,Победа,DP 6511,Пермь,PEE
SVO,2026-08-27,00:45,01:02,B,101,Аэрофлот,SU 1428,Магнитогорск,MQF
SVO,2026-08-27,00:50,01:17,D,13,Победа,DP 6929,Махачкала,MCX
SVO,2026-08-27,00:55,01:03,B,109,Аэрофлот,SU 1482,Красноярск,KJA
SVO,2026-08-27,01:00,01:20,B,115,Аэрофлот,SU 1382,Ханты-Мансийск,HMA
SVO,2026-08-27,01:00,01:42,C,129,Аэрофлот,SU 2170,Стамбул,IST
SVO,2026-08-27,01:05,01:10,B,121,Аэрофлот,SU 1306,Новосибирск,OVB
SVO,2026-08-27,01:10,01:26,C,130,Аэрофлот,SU 2164,Анталья,AYT
SVO,2026-08-27,01:10,01:36,C,134,Southwind Airlines,2S 12,Анталья,AYT
SVO,2026-08-27,01:15,01:31,C,128,Аэрофлот,SU 1966,Ереван,EVN
SVO,2026-08-27,01:20,01:40,B,122,Аэрофлот,SU 1708,Владивосток,VVO
SVO,2026-08-27,01:25,01:46,C,126,Аэрофлот,SU 424,Хургада,HRG
SVO,2026-08-27,01:30,01:48,B,104,"Россия,Аэрофлот","FV 6907,SU 6907",Челябинск,CEK
SVO,2026-08-27,01:30,02:15,B,107,Аэрофлот,SU 1562,Иркутск,IKT
SVO,2026-08-27,01:40,01:50,B,119,Аэрофлот,SU 1512,Сургут,SGC
SVO,2026-08-27,01:45,01:56,D,14,Smartavia,5N 231,Оренбург,REN
SVO,2026-08-27,01:55,02:02,B,110,Аэрофлот,SU 1582,Горно-Алтайск,RGK
SVO,2026-08-27,02:10,02:53,B,115,Аэрофлот,SU 1054,Махачкала,MCX
SVO,2026-08-27,02:15,02:26,C,138,Аэрофлот,SU 2148,Анталья,AYT
SVO,2026-08-27,02:20,02:32,B,103,Аэрофлот,SU 1172,Астрахань,ASF
SVO,2026-08-27,02:20,02:30,B,114,Аэрофлот,SU 1466,Екатеринбург,SVX
SVO,2026-08-27,02:25,10:09,B,115,Аэрофлот,SU 1074,Сочи,AER
SVO,2026-08-27,02:45,03:43,C,126,Corendon Airlines,XC 9113,Анталья,AYT
SVO,2026-08-27,02:55,10:23,B,111,"Россия,Аэрофлот","FV 6591,SU 6591",Пермь,PEE
SVO,2026-08-27,02:55,03:23,C,146,Air Serbia,JU 137,Белград,BEG
SVO,2026-08-27,03:10,09:29,B,101,Россия,FV 6155,Нижнекамск,NBC
SVO,2026-08-27,05:40,20:16,C,131,"Россия,Аэрофлот","FV 6953,SU 6953",Анталья,AYT
SVO,2026-08-27,05:45,15:24,C,142,Air Cairo,SM 922,Шарм-эль-Шейх,SSH
SVO,2026-08-27,06:00,09:07,B,101,"Россия,Аэрофлот","FV 6299,SU 6299",Нижнекамск,NBC
SVO,2026-08-27,06:00,10:30,B,102,Россия,FV 6373,Ижевск,IJK
SVO,2026-08-27,06:00,10:28,B,103,"Россия,Аэрофлот","FV 6075,SU 6075",Ульяновск,ULV
SVO,2026-08-27,06:05,15:57,C,143,Air Cairo,SM 786,Шарм-эль-Шейх,SSH
SVO,2026-08-27,06:10,06:19,B,103,Аэрофлот,SU 1318,Мурманск,MMK
SVO,2026-08-27,06:10,09:45,B,118,Аэрофлот,SU 1256,Краснодар,KRR
SVO,2026-08-27,06:30,09:05,B,117,Аэрофлот,SU 1242,Оренбург,REN
SVO,2026-08-27,06:35,06:46,B,117,Аэрофлот,SU 1000,Калининград,KGD
SVO,2026-08-27,06:45,06:53,B,101,Аэрофлот,SU 6,Санкт-Петербург,LED
SVO,2026-08-27,06:45,08:55,B,121,Аэрофлот,SU 1154,Геленджик,GDZ
SVO,2026-08-27,06:50,08:56,D,13,Победа,DP 6961,Астрахань,ASF
SVO,2026-08-27,06:50,09:06,D,3,Победа,DP 6903,Магас,IGT
SVO,2026-08-27,06:55,11:22,B,103,"Россия,Аэрофлот","FV 6491,SU 6491",Саратов,GSV
