airport;day;number;status;quality;is_cargo;terminal;gate;scheduledTime;revisedTime;runwayTime;predictedTime;actualTime;estimatedTime
SVO;2026-09-01;SU 1424;Departed;Basic+Live;0;B;104;2026-09-01 00:05+03:00;2026-09-01 00:02+03:00;2026-09-01 00:17+03:00;;;
SVO;2026-09-01;SU 1942;Departed;Basic+Live;0;C;129;2026-09-01 00:05+03:00;2026-09-01 00:05+03:00;2026-09-01 00:22+03:00;;;
SVO;2026-09-01;SU 1834;Departed;Basic+Live;0;C;142;2026-09-01 00:10+03:00;2026-09-01 00:06+03:00;2026-09-01 00:16+03:00;;;
SVO;2026-09-01;JU 135;Departed;Basic+Live;0;C;140;2026-08-31 23:50+03:00;2026-09-01 00:06+03:00;2026-09-01 00:19+03:00;;;
SVO;2026-09-01;SU 2162;Departed;Basic+Live;0;C;125;2026-09-01 00:10+03:00;2026-09-01 00:07+03:00;2026-09-01 00:27+03:00;;;
SVO;2026-09-01;SU 1750;Departed;Basic+Live;0;B;103;2026-08-31 23:50+03:00;2026-09-01 00:07+03:00;2026-09-01 00:25+03:00;;;
SVO;2026-09-01;SU 1524;Departed;Basic+Live;0;B;110;2026-09-01 00:10+03:00;2026-09-01 00:09+03:00;2026-09-01 00:24+03:00;;;
SVO;2026-09-01;SU 484;Departed;Basic+Live;0;C;141;2026-09-01 00:15+03:00;2026-09-01 00:14+03:00;2026-09-01 00:29+03:00;;;
SVO;2026-09-01;SU 1478;Departed;Basic+Live;0;B;101;2026-09-01 00:15+03:00;2026-09-01 00:15+03:00;2026-09-01 00:35+03:00;;;
SVO;2026-09-01;SU 1092;Departed;Basic+Live;0;B;112;2026-09-01 00:30+03:00;2026-09-01 00:20+03:00;2026-09-01 00:31+03:00;;;
SVO;2026-09-01;SU 2128;Departed;Basic+Live;0;C;133;2026-09-01 00:25+03:00;2026-09-01 00:23+03:00;2026-09-01 00:37+03:00;;;
SVO;2026-09-01;SU 1736;Departed;Basic+Live;0;B;115;2026-09-01 00:30+03:00;2026-09-01 00:28+03:00;2026-09-01 00:46+03:00;;;
SVO;2026-09-01;SU 1568;Departed;Basic+Live;0;B;106;2026-09-01 00:35+03:00;2026-09-01 00:30+03:00;2026-09-01 00:43+03:00;;;
SVO;2026-09-01;SU 1244;Departed;Basic+Live;0;B;102;2026-09-01 00:35+03:00;2026-09-01 00:32+03:00;2026-09-01 00:53+03:00;;;
SVO;2026-09-01;N4 59;Departed;Basic+Live;0;B;108;2026-08-31 20:40+03:00;2026-09-01 00:34+03:00;2026-09-01 00:49+03:00;;;
SVO;2026-09-01;SU 424;Departed;Basic+Live;0;C;128;2026-09-01 00:35+03:00;2026-09-01 00:35+03:00;2026-09-01 00:54+03:00;;;
SVO;2026-09-01;SU 1638;Departed;Basic+Live;0;B;121;2026-09-01 00:40+03:00;2026-09-01 00:37+03:00;2026-09-01 00:50+03:00;;;
SVO;2026-09-01;SU 1430;Departed;Basic+Live;0;B;103;2026-09-01 00:40+03:00;2026-09-01 00:38+03:00;2026-09-01 00:57+03:00;;;
SVO;2026-09-01;DP 6543;Departed;Basic+Live;0;D;3;2026-08-31 23:35+03:00;2026-09-01 00:43+03:00;2026-09-01 00:56+03:00;;;
SVO;2026-09-01;SU 6207;Departed;Basic+Live;0;D;3;2026-08-31 23:35+03:00;2026-09-01 00:43+03:00;2026-09-01 00:56+03:00;;;
